A̱o,Trimestre,Ingresos (miles de pesos),Periodo,dolar,Ingreso en dolares
2022,3,67055930,Jul-Sept 2022,284.0,236112.4295774648
2022,2,60335724,Abr-Jun 2022,234.0,257844.97435897434
2022,1,55589997,Ene-Mar 2022,196.0,283622.4336734694
2021,4,45467887,Oct-Dic 2021,204.0,222881.79901960783
2021,3,42999944,Jul-Sept 2021,182.0,236263.42857142858
2021,2,38239667,Abr-Jun 2021,163.0,234599.18404907975
2021,1,36676371,Ene-Mar 2021,136.0,269679.19852941175
2020,4,33539703,Oct-Dic 2020,160.0,209623.14375
2020,3,31997445,Jul-Sept 2020,140.0,228553.17857142858
2020,2,32102476,Abr-Jun 2020,116.0,276745.4827586207
2020,1,29946216,Ene-Mar 2020,78.5,381480.45859872614
2019,4,24169251,Oct-Dic 2019,73.5,328833.3469387755
2019,3,21652748,Jul-Sept 2019,58.25,371720.9957081545
2019,2,20743118,Abr-Jun 2019,42.3,490381.04018912534
2019,1,20207414,Ene-Mar 2019,42.65,473796.3423212192
2018,4,16637687,Oct-Dic 2018,38.5,432147.71428571426
2018,3,15410981,Jul-Sept 2018,39.3,392136.9211195929
2018,2,14319467,Abr-Jun 2018,28.4,504206.58450704225
2018,1,13171459,Ene-Mar 2018,20.36,646928.2416502947
2017,4,11226127,Oct-Dic 2017,18.88,594604.1843220339
2017,3,10065998,Jul-Sept 2017,17.51,574871.3877784123
2017,2,9678647,Abr-Jun 2017,16.44,588725.4866180049
2017,1,8701201,Ene-Mar 2017,15.58,558485.3016688061
2016,4,7483980,Oct-Dic 2016,16.47,454400.72859744995
2016,3,6912442,Jul-Sept 2016,15.31,451498.49771391245
2016,2,6534241,Abr-Jun 2016,14.65,446023.27645051194
2016,1,5936845,Ene-Mar 2016,14.86,399518.5060565276
2015,4,5376899,Oct-Dic 2015,14.17,379456.5278757939
2015,3,5153739,Jul-Sept 2015,15.84,325362.3106060606
2015,2,4701791,Abr-Jun 2015,13.3,353518.1203007519
2015,1,4876385,Ene-Mar 2015,12.52,389487.61980830674
2014,4,3950441,Oct-Dic 2014,13.7,288353.3576642336
2014,3,3478638,Jul-Sept 2014,15.6,222989.61538461538
2014,2,3270816,Abr-Jun 2014,12.05,271437.01244813274
2014,1,2984054,Ene-Mar 2014,10.7,278883.55140186916
